S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION,RSI,macd_vs_signal,50_vs_20ema,20sma_vs_price,50sma_vs_price,200sma_vs_price,ltp,bollinger_price
116,2022-02-03,176,NICL,Nepal Insurance Co. Ltd.,892,920,892,903.3,66976,61001787.1,892,1294,640,2022-02-03T14:59:43.809503,903.3,435,910.8,11222.04,48.33430515,Down,Down,UP,UP,Down,903.3,between_bands
117,2022-02-03,192,SICL,Shikhar Insurance Co. Ltd.,2005,2030,1980,1986,134452,268068044.7,1997,3021,1387,2022-02-03T14:59:57.967402,1986,2235,1993.78,34924.29,53.98183536,Down,Down,Down,Down,Down,1986,between_bands
118,2022-02-03,204,GUFL,Gurkhas Finance Ltd.,803.1,816,775,778,63408,50139176.1,802,1500,380,2022-02-03T14:59:55.069411,778,641,790.73,6752.99,47.25772699,Down,Down,UP,UP,Down,778,between_bands
119,2022-02-03,210,CIT,Citizen Investment Trust,3484,3484,3400,3410,13731,47160274.5,3416,5029,2625,2022-02-03T14:59:11.052697,3410,270,3434.58,111507.01,59.94147826,UP,Down,Down,Down,Down,3410,between_bands
120,2022-02-03,213,BNT,Bottlers Nepal (Terai) Limited,14700,14785,14500,14500,360,5258834,14696,17670,8328,2022-02-03T14:59:58.134348,14500,31,14607.87,17545,81.64283616,UP,Down,Down,Down,Down,14500,above_upper_band
121,2022-02-03,245,CFCL,Central Finance Co. Ltd.,517,525,497,500,40108,20413249.7,507,814.9,183,2022-02-03T14:59:16.397556,500,338,508.95,4744.38,45.41072196,UP,Down,UP,UP,Down,500,between_bands
122,2022-02-03,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,1375,1382,1352.2,1352.2,5041,6904294,1360,2275,1097,2022-02-03T14:56:47.544174,1352.2,67,1369.62,15173.98,47.07861084,UP,Down,UP,UP,Down,1352.2,between_bands
123,2022-02-03,273,ICFC,ICFC Finance Limited,743,760,730,732,135297,100834588.2,734.9,1176.8,283,2022-02-03T14:59:59.851347,732,788,745.28,8247.39,45.88819751,Down,Down,UP,UP,Down,732,between_bands
124,2022-02-03,393,PLIC,Prime Life Insurance Company Limited,804,815,788,793,20473,16325841.8,804,1133,570,2022-02-03T14:59:39.222118,793,149,797.43,22042.35,46.04474739,Down,Down,UP,UP,Down,793,between_bands
125,2022-02-03,459,KSBBL,Kamana Sewa Bikas Bank Limited,555,565.9,538.1,539,99985,55390046.2,549,866.9,284,2022-02-03T14:59:57.255739,539,744,553.98,16938.49,45.40658639,Down,Down,UP,UP,Down,539,between_bands
126,2022-02-03,472,SADBL,Shangrila Development Bank Ltd.,436,443,426,427,96366,41826770.6,428.4,595,197,2022-02-03T14:59:57.924883,427,419,434.04,12855.56,45.08513549,Down,Down,UP,UP,Down,427,between_bands
127,2022-02-03,474,MNBBL,Muktinath Bikas Bank Ltd.,569.9,579,560,560,50855,28923842.9,567.9,850,377,2022-02-03T14:59:58.586065,560,371,568.75,31680.21,45.61850397,Down,Down,UP,UP,Down,560,between_bands
128,2022-02-03,605,CCBL,Century Commercial Bank Ltd.,262,262,255.2,256.5,83825,21618902.6,258.2,324,212,2022-02-03T14:59:25.458189,256.5,390,257.9,24505.78,44.46864347,Down,Down,UP,UP,Down,256.5,between_bands
129,2022-02-03,695,JSLBB,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,2550,2560,2495,2495,1003,2511869,2510,5500,2061.1,2022-02-03T14:59:40.371449,2495,45,2504.35,3690.25,54.36634894,Down,Down,Down,Down,Down,2495,between_bands
130,2022-02-03,2755,NIBLPF,NIBL Pragati Fund,10.67,10.93,10.67,10.83,33700,366465.96,10.8,20.68,9.3,2022-02-03T14:58:22.687911,10.83,18,10.87,812.25,44.17286172,Down,Down,UP,UP,Down,10.83,between_bands
