S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION,RSI,macd_vs_signal,50_vs_20ema,20sma_vs_price,50sma_vs_price,200sma_vs_price,ltp,bollinger_price
195,2022-02-03,2792,UPPER,Upper Tamakoshi Hydropower Ltd,781.3,781.3,747,750.9,311026,238302173.2,766,962.5,471,2022-02-03T14:59:58.816713,750.9,2148,766.18,79520.31,49.70494558,Down,Down,UP,UP,Down,750.9,between_bands
196,2022-02-03,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,1652.4,1652.4,1591,1620,4138,6652546.3,1620,2101.2,1176,2022-02-03T14:56:34.036931,1620,93,1607.67,5409.41,56.31173075,UP,Down,Down,Down,Down,1620,between_bands
197,2022-02-03,2810,UPCL,UNIVERSAL POWER COMPANY LTD,425.1,434.9,416,418,196356,83792618.8,419,635,132,2022-02-03T14:59:59.368548,418,1000,426.73,8779.46,46.46349784,Down,Down,UP,UP,Down,418,between_bands
198,2022-02-03,2831,UNHPL,Union Hydropower Limited,411,423,406.3,408,93603,39070563.4,409,612,113,2022-02-03T14:59:54.498951,408,675,417.4,3060,46.38476116,Down,Down,UP,UP,Down,408,between_bands
199,2022-02-03,2859,SIGS2,Siddhartha Investment Growth Scheme - 2,11.5,11.73,11.5,11.61,235480,2760527.9,11.5,16.87,10.15,2022-02-03T14:43:58.559099,11.61,16,11.72,1393.2,43.01388117,Down,Down,UP,UP,Down,11.61,between_bands
200,2022-02-03,2893,AIL,Ajod Insurance Limited,775,775,759.9,760,12329,9443107.9,768,1125,588.8,2022-02-03T14:59:53.925210,760,239,765.92,7600,50.87715741,Down,Down,Down,UP,Down,760,between_bands
201,2022-02-03,2919,NIFRA,Nepal Infrastructure Bank Limited,383,392,376,376.5,479810,184807759.7,376,726,268.5,2022-02-03T14:59:59.224846,376.5,3601,385.16,81324,46.99997476,Down,Down,UP,UP,Down,376.5,between_bands
202,2022-02-03,2923,SLCF,Sanima Large Cap Fund,9.2,9.3,9.2,9.21,19450,179891,9.27,11.4,8.78,2022-02-03T14:56:27.794948,9.21,32,9.24,1105.2,43.31196677,Down,Down,UP,UP,Down,9.21,between_bands
203,2022-02-03,8021,SAHAS,Sahas Urja Limited,673.2,726,673.2,700,243194,171135531.8,660,789.4,405.3,2022-02-03T14:59:57.244720,700,5418,703.69,24500,51.63872079,UP,Down,Down,UP,Down,700,between_bands
204,2022-02-03,141,LBL,Laxmi Bank Limited,304,304,295.3,297,31689,9477586.4,300,447,245,2022-02-03T14:59:49.888503,297,177,299.08,34307.49,46.94537108,Down,Down,UP,UP,Down,297,between_bands
205,2022-02-03,147,SHL,Soaltee Hotel Limited,226.1,228,223.2,224,22385,5060777.6,226.1,321,182,2022-02-03T14:59:34.496904,224,92,226.07,18873.79,46.06065853,Down,Down,UP,UP,Down,224,between_bands
206,2022-02-03,153,BPCL,Butwal Power Company Limited,463,473,460,460.7,54529,25331192.7,454,703,383,2022-02-03T14:59:51.223745,460.7,505,464.54,14956.61,49.65012573,UP,Down,UP,UP,UP,460.7,between_bands
207,2022-02-03,172,NABBC,Narayani Development Bank Limited,591.6,592,565,567.1,12124,6929421.6,580,1251.1,442,2022-02-03T14:57:58.786147,567.1,98,571.54,1488.45,51.34803656,UP,Down,Down,UP,UP,567.1,between_bands
208,2022-02-03,184,PRIN,Prabhu Insurance Ltd.,891,898,873,873,28383,25104771.2,889.9,1162,653.9,2022-02-03T14:59:56.636545,873,161,884.5,10143.41,56.29186513,UP,Down,Down,UP,UP,873,between_bands
209,2022-02-03,235,HDL,Himalayan Distillery Limited,4851,4860,4725,4732,14231,67838369.3,4765,7938,3879,2022-02-03T14:59:44.063018,4732,494,4766.94,71854.44,82.48567151,UP,Down,Down,Down,Down,4732,above_upper_band
210,2022-02-03,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,510,511,485.5,500,27908,13933189.9,500,773,205,2022-02-03T14:59:58.902912,500,161,499.25,4752,46.68779004,UP,Down,UP,UP,UP,500,between_bands
211,2022-02-03,274,EDBL,Excel Development Bank Ltd.,584,590.5,562.7,563.6,17597,10065367.2,579,1195,383,2022-02-03T14:59:55.822711,563.6,178,571.99,6491.5,47.09038806,UP,Down,UP,UP,UP,563.6,between_bands
212,2022-02-03,559,NLG,NLG Insurance Company Ltd.,974,974,942.3,947,11719,11170878.3,955,1422,710,2022-02-03T14:59:51.875272,947,106,953.22,11420.94,49.75876417,UP,Down,Down,UP,UP,947,between_bands
213,2022-02-03,561,SINDU,Sindhu Bikash Bank Ltd,442,450,430,430,54921,24197844.6,434,618,177,2022-02-03T14:59:33.624518,430,296,440.59,2397.06,46.1010598,UP,Down,UP,UP,UP,430,between_bands
214,2022-02-03,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,1095,1120,1070.5,1070.5,25859,28036633.6,1100,1437,800,2022-02-03T14:59:50.470017,1070.5,221,1084.21,10517.66,51.27763748,UP,Down,Down,Down,UP,1070.5,between_bands
215,2022-02-03,587,RLFL,Reliance Finance Ltd.,530,530,510.7,511,43329,22522933.9,520,814,210,2022-02-03T14:59:27.983200,511,267,519.81,5380.86,46.70608489,UP,Down,UP,UP,UP,511,between_bands
216,2022-02-03,682,MMFDB,Mirmire Microfinance Development Bank Ltd.,1446,1446,1402,1415,7136,10156739.5,1418,2095,1318.2,2022-02-03T14:59:54.794786,1415,74,1423.3,7387.51,54.3737875,UP,Down,Down,Down,Down,1415,between_bands
217,2022-02-03,697,API,Api Power Company Ltd.,562,575,553,557,928168,525018722,551,670,276,2022-02-03T14:59:58.548362,557,3924,565.65,15367.16,46.90170123,UP,Down,UP,UP,UP,557,between_bands
218,2022-02-03,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,360,366,350,350,681834,243735136.7,358.5,606,244.1,2022-02-03T14:59:57.075251,350,3470,357.46,83160,45.15511864,Down,Down,UP,UP,UP,350,between_bands
219,2022-02-03,2754,DHPL,Dibyashwori Hydropower Ltd.,331.5,338.1,323,323,58306,19282580,325,485.2,110,2022-02-03T14:59:31.903303,323,365,330.71,852.72,44.90067383,Down,Down,UP,UP,UP,323,between_bands
220,2022-02-03,2773,SAEF,Sanima Equity Fund,14.2,14.34,14,14.07,252848,3612739,13.94,20.19,11.99,2022-02-03T14:59:16.345731,14.07,34,14.28,1829.1,41.75954682,Down,Down,UP,UP,UP,14.07,between_bands
221,2022-02-03,2815,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,1363.1,1380,1353,1365,892,1219440.2,1390,1996,1160,2022-02-03T14:36:35.845162,1365,24,1367.08,2068.72,57.07844781,Down,Down,Down,Down,Down,1365,between_bands
222,2022-02-03,2915,PLI,Prabhu Life Insurance Limited,643,655.7,633,639.9,15271,9859323.4,643,950,477,2022-02-03T14:59:59.000883,639.9,616,645.62,12798,49.00665872,Down,Down,UP,UP,UP,639.9,between_bands
223,2022-02-03,4968,RMF1,RBB Mutual Fund 1,9.1,9.2,9.1,9.16,11570,105967,9.16,10.3,8.8,2022-02-03T14:39:57.093594,9.16,23,9.15,1145,42.85616208,Down,Down,UP,UP,UP,9.16,between_bands
224,2022-02-03,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,455,466,451,451,74742,34322809.8,455,505,100,2022-02-03T14:59:56.937403,451,3896,459.21,27060,48.17210277,Down,Down,UP,UP,UP,451,between_bands
